lab,age_group,d_z,n,d_z_var,method,mean_age,prop_monolingual,modal_lang1,mean_lang1_exposure,parent_education,prop_caregiver_seat,prop_preterm,prop_curr_earinfection,prop_hearing_vision,prop_cognitive_developmental,prop_female,prop_beard,prop_nae
babylabbrookes,12-15 mo,0.26802580999683756,16,0.1261224661691322,singlescreen,410.25,1,english,100,16.442307692307693,1,NA,0,0,0,0.5961538461538461,0,0
babylabbrookes,3-6 mo,0.6740790358229655,20,0.10567978183170024,singlescreen,138.88888888888889,1,english,100,16.01197461953151,1,NA,0,0,0,0.28104575163398693,0,0
babylabbrookes,6-9 mo,0.5748995814085146,15,0.13884182547839474,singlescreen,231.12280701754386,1,english,100,16.676845415425355,1,NA,0,0,0,0.5350877192982456,0,0
babylabbrookes,9-12 mo,0.3028718240553657,2,1.0114664177258281,singlescreen,360.5,1,english,100,15,1,NA,0,0,0,0.5,0,0
babylabkingswood,12-15 mo,0.42675047815008843,15,0.13636859951002214,hpp,414.0919540229885,1,english,99.77011494252874,16.202083333333334,1,NA,0,0,0,0.3793103448275862,0,0
babylabkingswood,6-9 mo,0.34997861057262625,15,0.13537475046430578,hpp,218.32692307692307,1,english,98.9423076923077,15.717147435897436,1,NA,0,0,0,0.3076923076923077,0,0
babylabkingswood,9-12 mo,-0.3865779611898852,2,1.0186803150097161,hpp,274,1,english,100,16.7,1,NA,0,0,0,0.5333333333333333,0,0
babylabkonstanz,6-9 mo,0.8414381363175815,15,0.14513363562082673,hpp,231.92631578947368,1,german,100,17.34736842105263,1,NA,0,0,0,0.5789473684210527,0,0
babylablangessex,12-15 mo,0.15786761823052184,6,0.3343717577035741,eyetracking,389,1,english,99.72727272727273,14.545454545454547,0.18181818181818182,NA,0,0,0,0.9090909090909091,0,0
babylablangessex,6-9 mo,0.6249728700373334,11,0.19069525200642504,eyetracking,229.2439024390244,1,english,100,15.062259306803593,0.04878048780487805,NA,0,0,0,0.14634146341463414,0,0
babylablangessex,9-12 mo,0.14943978282903456,5,0.40111661243459945,eyetracking,299.625,1,english,100,15.40625,0,NA,0,0,0,0.6875,0,0
babylableiden,9-12 mo,1.121666737320017,15,0.15430227116016887,hpp,324.7083333333333,1,dutch,97.45833333333333,18.243055555555557,1,NA,0,0,0,0.4166666666666667,0,0
babylablmu,12-15 mo,0.5846241588067811,21,0.09930696913167304,eyetracking,409.48214285714283,1,german,97.42857142857143,17.267857142857142,0.14285714285714285,NA,0,0,0,0.4107142857142857,0,0
babylablmu,6-9 mo,NA,1,NA,eyetracking,263,1,german,100,18,1,NA,0,0,0,1,0,0
babylablmu,9-12 mo,0.5654433094630757,16,0.12999572087838368,eyetracking,324.38461538461536,1,german,98.92307692307692,16.24466571834993,0.2564102564102564,NA,0,0,0,0.4358974358974359,0,0
babylabnijmegen,6-9 mo,0.4879403110302646,27,0.07627857173266954,hpp,234.63101604278074,1,dutch,99.70053475935829,17.299950706539597,1,NA,0,0,0,0.5775401069518716,0,0
babylabnijmegen,9-12 mo,-0.024661725073511144,22,0.09091600228049547,hpp,333.912,1,dutch,99.776,16.82943925233645,1,NA,0,0,0,0.392,0,0
babylabparisdescartes1,12-15 mo,0.5408548544438901,15,0.13820873289292535,hpp,406.1162790697674,1,french,98.45348837209302,16.36103933390755,1,NA,0,0,0,0.3488372093023256,0,0
babylabplymouth,12-15 mo,0.39995376294360035,7,0.29142725044616946,hpp,378.531914893617,1,english,100,15.085106382978722,1,NA,0,0,0,0.723404255319149,0,0
babylabplymouth,9-12 mo,0.6363593503321556,26,0.08081685791110735,hpp,317.07272727272726,1,english,99.87878787878788,14.657575757575756,1,NA,0,0,0,0.43636363636363634,0,0
babylabpotsdam,6-9 mo,NA,1,NA,singlescreen,249,1,german,100,14,1,NA,0,0,0,1,0,0
babylabpotsdam,9-12 mo,0.5668763837056687,45,0.04622971574668454,hpp,306.996632996633,1,german,98.42760942760943,14.107508532423207,1,NA,0,0,0.02356902356902357,0.4983164983164983,0,0
babylabpotsdam,9-12 mo,0.5668763837056687,45,0.04622971574668454,singlescreen,306.996632996633,1,german,98.42760942760943,14.107508532423207,1,NA,0,0,0.02356902356902357,0.4983164983164983,0,0
babylabprinceton,12-15 mo,0.6617348037944476,14,0.15067665983130135,hpp,414.0169491525424,1,english,98.8135593220339,16.923728813559322,1,0.2542372881355932,0,0.01694915254237288,0,0.4576271186440678,0,1
babylabprinceton,3-6 mo,0.33248215285502025,7,0.28966229935596816,hpp,154.3846153846154,1,english,98.97435897435898,17.397435897435898,1,0.38461538461538464,0,0,0,0.48717948717948717,0,1
babylabprinceton,6-9 mo,NA,1,NA,hpp,183,1,english,95,17,1,1,0,0,0,1,0,1
babylabshimane,3-6 mo,-0.08307920348072037,13,0.15397888757790368,eyetracking,145.87755102040816,1,japanese,99.85714285714286,15.214285714285715,1,NA,0,0,0,0.5102040816326531,0,0
babylabshimane,6-9 mo,0.17161357774735542,13,0.15441252346283169,eyetracking,230.35897435897436,1,japanese,99.52564102564102,14.967948717948717,1,NA,0,0,0,0.5256410256410257,0,0
babylabshimane,9-12 mo,NA,1,NA,eyetracking,274,1,japanese,99,16,1,NA,0,0,0,0,0,0
babylabuclajohnson,12-15 mo,0.40166117452451966,22,0.09274240567182292,eyetracking,405.1709401709402,1,english,98.06837606837607,17.0982905982906,1,NA,0,0,0,0.6153846153846154,0,1
babylabumassb,12-15 mo,0.42344836973089095,7,0.29211816149384817,eyetracking,432.6666666666667,1,english,98.3076923076923,17.153846153846153,0.8205128205128205,NA,0,0,0,0.6153846153846154,0,1
babylabumassb,6-9 mo,0.8301943674354043,8,0.271538208991296,eyetracking,222.93023255813952,1,english,95.30232558139535,15.285049833887044,1,NA,0,0,0,0.18604651162790697,0,1
babylabumassb,9-12 mo,0.14225415524289986,9,0.2227843401301075,eyetracking,329.56410256410254,1,english,99.87179487179488,16.641025641025642,1,NA,0,0,0,0.48717948717948717,0,1
babylabutrecht,6-9 mo,0.1746061178274103,30,0.06692072746985633,hpp,224.75520833333334,1,dutch,100,15.666666666666668,1,NA,0,0,0,0.40625,0,0
babylabutrecht,9-12 mo,0.24701092264615893,31,0.06500818061214925,hpp,325.6507936507937,1,dutch,100,15.597883597883598,1,NA,0,0,0,0.5238095238095238,0,0
babylabvuw,3-6 mo,NA,1,NA,singlescreen,107,1,english,90,14,1,NA,0,0,0,1,0,0
babylabvuw,6-9 mo,0.031084802334250098,13,0.15386473586415692,singlescreen,227.02197802197801,1,english,98.02197802197803,15.776470588235295,1,NA,0,0,0,0.46153846153846156,0,0
babylabvuw,9-12 mo,NA,1,NA,singlescreen,278,1,english,100,17,1,NA,0,0,0,0,0,0
babylabyork,6-9 mo,0.20782626968676826,16,0.1256748712245612,singlescreen,218.9075630252101,1,english,100,16.747899159663866,1,NA,0.06722689075630252,0,0,0.5378151260504201,0,0
babylabyork,9-12 mo,0.4311099311483352,16,0.12790399644898004,singlescreen,313.8514851485148,1,english,99.93069306930693,16.787128712871286,1,NA,0,0,0,0.5544554455445545,0,0
babylingoslo,6-9 mo,0.16212851700155506,18,0.1114761896670156,eyetracking,234.61016949152543,1,norwegian,99.83050847457628,16.796610169491522,0,NA,0,0,0,0.4067796610169492,0,0
baldwinlabuoregon,9-12 mo,0.5967969913106059,16,0.13056510388808423,singlescreen,322.29591836734693,1,english,98.72448979591837,16.934782608695652,0,NA,0,0,0.07142857142857142,0.4897959183673469,0,1
bchdosu,12-15 mo,0.2507262368864611,15,0.13438106076438744,singlescreen,405.7362637362637,1,english,99.91208791208791,15.22032967032967,1,NA,0,0.08791208791208792,0,0.42857142857142855,0,1
bchdosu,3-6 mo,0.4497696870752735,20,0.10252865964264737,singlescreen,141.27480916030535,1,english,99.42748091603053,15.919847328244273,1,NA,0,0.11450381679389313,0,0.4732824427480916,0,1
bchdosu,6-9 mo,0.046682915335157685,15,0.13336965490973648,singlescreen,241.03883495145632,1,english,99.22330097087378,16.723300970873787,1,NA,0,0.27184466019417475,0,0.5048543689320388,0,1
bchdosu,9-12 mo,0.3250812615917091,16,0.12665121604121965,singlescreen,322.7857142857143,1,english,99.91836734693878,15.025510204081634,1,NA,0,0.12244897959183673,0,0.673469387755102,0,1
bcrlunlv,12-15 mo,0.5302962799024193,27,0.07667790874516986,singlescreen,409.41803278688525,1,english,98.49180327868852,15.241733814948596,1,NA,0,0,0,0.39344262295081966,0,1
bllumanitoba,12-15 mo,1.7588518139856606,16,0.17333687036813514,hpp,410.6224489795918,1,english,98.12244897959184,15.752607709750567,1,NA,0,0,0,0.6122448979591837,0,1
bllumanitoba,3-6 mo,0.49159858958139285,13,0.15849363794766183,hpp,166.54255319148936,1,english,97.05319148936171,16.96276595744681,1,NA,0,0,0,0.425531914893617,0,1
bllumanitoba,6-9 mo,-0.1020301594667465,26,0.07702317455231548,hpp,234.7696335078534,1,english,98.87434554973822,14.827225130890053,1,NA,0,0,0,0.2879581151832461,0,1
bllumanitoba,9-12 mo,0.6351034305894019,23,0.09134083008202638,hpp,313.8169934640523,1,english,97.7124183006536,16,1,NA,0,0,0,0.5163398692810458,0,1
bounbcl,12-15 mo,0.26673376261395765,31,0.06508989435579193,singlescreen,408.9316239316239,1,turkish,96.46153846153847,15.907246376811592,0.9316239316239316,NA,0,0,0,0.5128205128205128,0,0
callab,12-15 mo,0.7455391707370906,8,0.26736964547197967,eyetracking,418.75,1,english,99.0625,17.5,1,NA,0,0,0,0.53125,0,1
callab,9-12 mo,0.05962292674529395,15,0.13339258155656125,eyetracking,334.36986301369865,1,english,98.28767123287672,16.321917808219176,1,NA,0,0,0.0410958904109589,0.3698630136986301,0,1
cdcceu,12-15 mo,0.8139833991531293,13,0.16658786488647853,eyetracking,399.51428571428573,1,hungarian,96.77142857142857,17.28333333333333,1,0,0,0,0,0.5857142857142857,0.35714285714285715,0
cdcceu,3-6 mo,-0.30069119894959023,12,0.1685503166067863,eyetracking,148.48387096774192,1,hungarian,99.24193548387096,18.201612903225808,1,0,0,0.016129032258064516,0,0.8387096774193549,0.5,0
cdcceu,6-9 mo,NA,1,NA,eyetracking,183,1,hungarian,100,17,1,0,0,0,0,0,0,0
cfnuofn,12-15 mo,0.46896468290480503,7,0.293568852636143,eyetracking,393,1,english,100,12.575,0,NA,0.18518518518518517,0.18518518518518517,0,0.6296296296296297,0,0
cfnuofn,3-6 mo,NA,1,NA,eyetracking,178,1,english,100,NaN,0,1,0,0,0,1,0,0
cfnuofn,6-9 mo,-0.29629525639332627,5,0.40438954394805937,eyetracking,190.93333333333334,1,english,100,13.5,0,NA,0,0,0,0.5333333333333333,0,0
childlabmanchester,12-15 mo,NA,1,NA,eyetracking,370,1,english,NaN,NaN,1,0,0,0,0,1,0,0
childlabmanchester,3-6 mo,NA,1,NA,eyetracking,182,1,english,NaN,NaN,1,0,0,0,0,0,0,0
childlabmanchester,6-9 mo,-0.3054476740073742,11,0.18393859730810264,eyetracking,242.04761904761904,1,english,NaN,NaN,0.40476190476190477,0,0,0,0,0.47619047619047616,0,0
childlabmanchester,9-12 mo,0.47343596318102327,3,0.6853451342694286,eyetracking,312.1818181818182,1,english,NaN,NaN,0,0,0,0,0,0.6363636363636364,0,0
chosunbaby,12-15 mo,0.6603488796153675,30,0.07030050535674393,hpp,404.70319634703196,1,korean,100,15.68208092485549,1,NA,0,0,0,0.5707762557077626,0,0
chosunbaby,6-9 mo,0.17531489363381345,28,0.07170299385651638,hpp,224.7584541062802,1,korean,100,15.904761904761905,1,NA,0.028985507246376812,0,0,0.45893719806763283,0,0
chosunbaby,9-12 mo,0.5530360176286023,19,0.10928748469466451,hpp,298.5507246376812,1,korean,100,15.431372549019608,1,NA,0,0,0,0.37681159420289856,0,0
cogdevlabbyu,3-6 mo,-0.20918516557389244,18,0.11171886713189134,eyetracking,134.14705882352942,1,english,99.23529411764706,15.647058823529411,1,0.3235294117647059,0,0,0.029411764705882353,0.29411764705882354,0,1
cogdevlabbyu,6-9 mo,0.024085946730085735,10,0.20001450332074713,eyetracking,195.91666666666666,1,english,98.75,16,1,0.4166666666666667,0,0,0,0.25,0,1
dcnlabtennessee,12-15 mo,0.5372982055390684,13,0.15939787233991354,eyetracking,405.93220338983053,1,english,99.57627118644068,16.728813559322035,1,NA,0,0,0,0.4915254237288136,0,1
dcnlabtennessee,3-6 mo,0.07843649447963773,3,0.6671793569721878,eyetracking,167.69230769230768,1,english,100,17.153846153846153,1,NA,0,0,0,0.07692307692307693,0,1
dcnlabtennessee,6-9 mo,0.6648429275983859,2,1.055252014797199,eyetracking,194.2,1,english,100,15.4,1,NA,0,0,0,0.6,0,1
earlysocogfm,12-15 mo,0.8072408606588257,8,0.2703636814724126,eyetracking,404.5,1,english,99.21428571428571,NaN,1,NA,0,0,0.21428571428571427,0.25,0,1
earlysocogfm,6-9 mo,-0.21058061593175212,13,0.15469892684242686,eyetracking,226.26530612244898,1,english,98.10204081632654,NaN,1,0.14285714285714285,0,0,0,0.3469387755102041,0,1
earlysocogfm,9-12 mo,0.5088002978605677,12,0.17205995298131255,eyetracking,314.8125,1,english,99.421875,NaN,1,NA,0,0,0,0.734375,0,1
escompicbsleipzig,3-6 mo,0.14265281736141971,13,0.1542374966596375,eyetracking,155.04109589041096,1,german,99.02739726027397,14.697787144362486,1,NA,0,0,0,0.6164383561643836,1,0
escompicbsleipzig,6-9 mo,NA,1,NA,eyetracking,184,1,german,100,12,1,NA,0,0,0,1,1,0
ethosrennes,3-6 mo,-0.21962754628970757,46,0.043740414451571945,eyetracking,145.7970479704797,1,french,99.08856088560886,14.84870848708487,0,NA,0,0,0,0.5129151291512916,0,0
ethosrennes,6-9 mo,0.10170560333879014,41,0.04884356115701529,eyetracking,231.86666666666667,1,french,99.64102564102564,15.879487179487178,0.9897435897435898,NA,0.020512820512820513,0,0,0.5025641025641026,0,0
icclbc,3-6 mo,-0.7376613152498834,2,1.0680180270020234,singlescreen,182,1,english,100,20.25,0,NA,0,0,0,0.5,0,1
icclbc,6-9 mo,0.18144762444736356,13,0.1544792930849537,singlescreen,227.61428571428573,1,english,98.85714285714286,17.857142857142858,0,NA,0,0,0,0.18571428571428572,0,1
infantcoglablouisville,9-12 mo,0.023185798534855348,34,0.05882748221510073,singlescreen,323.59712230215825,1,english,99.96402877697842,16.73013468924109,1,NA,0.04316546762589928,0,0.03597122302158273,0.460431654676259,0,1
infantcogubc,3-6 mo,0.3353204198814508,28,0.07243249807133458,singlescreen,138.04022988505747,1,english,97.856321839080465,16.0396522800061,1,NA,0,0,0,0.3793103448275862,0,1
infantcogubc,6-9 mo,-0.11125073718057026,10,0.2003094181630805,eyetracking,223.26666666666668,1,english,98.35555555555555,16.133333333333333,0,NA,0,0.15555555555555556,0,0.6444444444444445,0,1
infantlanglabutk,12-15 mo,0.5463652957320767,33,0.06286753815439697,hpp,415.36842105263156,1,english,99.7846889952153,15.33732057416268,1,NA,0,0,0,0.44019138755980863,0,1
infantlanglabutk,6-9 mo,0.5427216958610118,32,0.06480114718092385,hpp,225.41150442477877,1,english,99.51327433628319,16.353982300884958,1,NA,0,0,0,0.5,0,1
infantllmadison,12-15 mo,1.0479464756264494,28,0.08123385549801693,hpp,410.09722222222223,1,english,99.09722222222223,16.611510791366904,1,NA,0,0.041666666666666664,0,0.5694444444444444,0.1875,1
infantllmadison,6-9 mo,0.31458908423708354,31,0.0653142442896865,hpp,226.2921348314607,1,english,98.9438202247191,17.225752292393132,1,NA,0,0,0,0.6067415730337079,0.21348314606741572,1
infantllmadison,9-12 mo,0.9317680678467752,31,0.07151767526015251,hpp,315.84180790960454,1,english,99.06214689265536,16.951977401129945,1,NA,0,0,0,0.615819209039548,0.192090395480226,1
infantstudiesubc,6-9 mo,0.5226703344421588,20,0.10341480348132348,hpp,229.03658536585365,1,english,98.32926829268293,16.26027397260274,1,NA,0,0,0,0.35365853658536583,0,1
irlconcordia,12-15 mo,1.0398180799369985,16,0.1418940881150604,eyetracking,395.22727272727275,1,english,96.97727272727273,15.454545454545455,1,NA,0,0,0,0.4090909090909091,0,1
irlconcordia,6-9 mo,-0.10481754011964413,16,0.12517166744869895,eyetracking,227.63333333333333,1,english,97.36666666666666,15.833333333333334,1,NA,0,0.1,0,0.25,0,1
irlconcordia,9-12 mo,0.8837004399380438,2,1.0976158084433365,eyetracking,290,1,english,98.85714285714286,14.714285714285715,1,NA,0,0,0,0,0,1
islnotredame,12-15 mo,0.5127359572216238,28,0.07377587644489263,hpp,409.8024691358025,1,english,99.73456790123457,15.280864197530864,1,NA,0,0,0.037037037037037035,0.46296296296296297,0,1
isplabmcgill,12-15 mo,1.2888490192314541,11,0.21957117714486094,hpp,414.15384615384613,1,french,96.1923076923077,17.932692307692307,1,NA,0,0.057692307692307696,0,0.2692307692307692,0,0
jmucdl,12-15 mo,0.04884879216269463,5,0.40011931022478775,eyetracking,395.7142857142857,1,english,100,15.714285714285715,1,NA,0,0,0,1,0,1
jmucdl,3-6 mo,NA,1,NA,eyetracking,110,1,english,90,19,1,NA,0,0,0,1,0,1
jmucdl,6-9 mo,NA,1,NA,eyetracking,273,1,english,100,17,1,NA,0,0,0,0,0,1
jmucdl,9-12 mo,0.08679604560650671,4,0.5004708470958079,eyetracking,307.8,1,english,100,17.6,1,NA,0,0,0,0.6,0,1
kokuhamburg,12-15 mo,0.2892411124554765,8,0.25261438816045256,eyetracking,408.3636363636364,1,german,100,18.68181818181818,1,NA,0.09090909090909091,0,0,0.45454545454545453,0,0
kokuhamburg,6-9 mo,-0.2895712652962874,13,0.15545868303240948,eyetracking,221.43243243243242,1,german,99.05405405405405,17.12162162162162,1,NA,0,0,0,0.5675675675675675,0,0
kyotobabylab,12-15 mo,-0.4046531807267011,3,0.680312016389353,eyetracking,372.4,1,japanese,99.73333333333333,NaN,1,NA,0,0,0,0.6666666666666666,0,0
kyotobabylab,6-9 mo,-0.366800913782895,10,0.20336357275879918,eyetracking,214.26,1,japanese,99.48,NaN,1,NA,0,0,0,0.68,0,0
kyotobabylab,9-12 mo,0.256398579030209,14,0.14403107555944125,eyetracking,303.4864864864865,1,japanese,99.13513513513513,NaN,1,NA,0,0,0.05405405405405406,0.6081081081081081,0,0
labunam,12-15 mo,0.24225746666046324,11,0.18315201545801696,eyetracking,407.03846153846155,1,spanish,99.8076923076923,14.471153846153847,1,NA,0,0,0,0.7692307692307693,0,0
labunam,3-6 mo,NA,1,NA,eyetracking,96,1,spanish,100,16,1,NA,0,0,0,1,0,0
labunam,6-9 mo,0.4177892608312915,14,0.14597406904403493,eyetracking,225.47169811320754,1,spanish,98.86792452830188,15.213515594917212,1,NA,0,0,0,0.8490566037735849,0,0
labunam,9-12 mo,0.13738774883495536,4,0.5011797120956211,eyetracking,306.5833333333333,1,spanish,100,12.875,1,NA,0,0,0,0.25,0,0
lancaster,12-15 mo,0.027512835596174887,20,0.10000946195153178,singlescreen,412.85135135135135,1,english,100,15.159842678499395,1,NA,0,0,0,0.5405405405405406,0,0
lancaster,6-9 mo,0.22717694507153685,19,0.10594222847857941,eyetracking,222.82905982905982,1,english,100,15.20900519869592,1,0,0,0.09401709401709402,0,0.4358974358974359,0,0
langlabucla,12-15 mo,-0.4494931723997771,3,0.6835036760028346,hpp,454.94117647058823,0.47058823529411764,english,82,16.176470588235293,1,NA,0,0,0,0.17647058823529413,0,1
langlabucla,3-6 mo,0.42533286095719886,29,0.07052506933284514,hpp,154.60663507109004,1,english,99.18009478672985,16.561611374407583,1,NA,0,0,0,0.6066350710900474,0,1
langlabucla,6-9 mo,2.0786570989044324,2,1.540101916853224,hpp,225,1,english,98.5,15,1,NA,0,0,0,0.5,0,1
langlabucla,9-12 mo,0.6318455950694779,29,0.07240714531041985,hpp,324.2020725388601,1,english,98.54922279792746,17.17616580310881,1,NA,0.04145077720207254,0,0,0.29015544041450775,0,1
lcdfsu,12-15 mo,0.06637846802602657,5,0.40022030505087414,eyetracking,414.0769230769231,1,english,100,16.213675213675213,1,NA,0,0,0,0,0,1
lcdfsu,9-12 mo,0.257895185369353,13,0.1551251908968595,eyetracking,312.9767441860465,1,english,100,16.685492801771872,1,NA,0,0.11627906976744186,0,0.27906976744186046,0,1
lcduleeds,12-15 mo,0.8199150628321107,9,0.24089613084052733,eyetracking,414.037037037037,1,english,100,17.87037037037037,1,NA,0,0,0,0.5925925925925926,0,0
ldlottawa,12-15 mo,0.7076878133647777,10,0.21252055102962553,singlescreen,412.70454545454544,1,english,99.52272727272727,21.74074074074074,1,NA,0,0,0,0.5227272727272727,0.25,1
ldlottawa,3-6 mo,0.2825562390875632,12,0.1683299589218189,singlescreen,142.7037037037037,1,english,99.62962962962963,19.69047619047619,1,NA,0,0,0,0.7037037037037037,0.07407407407407407,1
ldlottawa,6-9 mo,0.5350852940556281,16,0.1294736917486656,singlescreen,245.15151515151516,1,english,99.6969696969697,16.66189189189189,1,NA,0,0,0,0.6212121212121212,0.30303030303030304,1
ldlottawa,9-12 mo,0.25982181219607775,15,0.1344584562348809,singlescreen,311.6326530612245,1,english,98.71428571428571,17.739097744360905,1,NA,0,0,0,0.5714285714285714,0.14285714285714285,1
lllliv,12-15 mo,0.5927610212629129,13,0.1606031851601664,eyetracking,397,1,english,99.97435897435898,16.716562716562716,0.20512820512820512,NA,0,0,0,0.5128205128205128,0,0
lllliv,6-9 mo,0.31837995198014135,16,0.12658384052848246,eyetracking,230,1,english,99.64150943396227,16.830188679245282,0.05660377358490566,NA,0,0,0,0.4716981132075472,0,0
lllliv,9-12 mo,NA,1,NA,eyetracking,286,1,english,100,19,0,NA,0,0,0,0,0,0
lppparisdescartes2,6-9 mo,-0.05469479432512926,25,0.08002991520526269,hpp,234.864406779661,1,french,98.8135593220339,NaN,1,NA,0.05084745762711865,0,0,0.3728813559322034,0,0
lscppsl,12-15 mo,0.13934810489207464,11,0.18225949759856847,eyetracking,410.7692307692308,1,french,97.88461538461539,17.134615384615387,1,NA,0.11538461538461539,0,0,0.38461538461538464,0,0
madlabucsd,6-9 mo,0.14274992667470185,10,0.20050943853914083,singlescreen,232.77941176470588,1,english,99.76470588235294,16.53529411764706,1,NA,0,0,0,0.3088235294117647,0,1
minddevlabbicocca,3-6 mo,0.49824023756776104,11,0.18746007578026316,singlescreen,147.75342465753425,1,italian,100,17.397260273972606,1,NA,0,0,0,0.9452054794520548,0,0
minddevlabbicocca,6-9 mo,-0.2427574775350493,4,0.5036831995561988,singlescreen,191.46666666666667,1,italian,98.66666666666667,19.1,1,NA,0,0,0,0.26666666666666666,0,0
musdevutm,6-9 mo,0.19473312513925575,30,0.0669826749168875,hpp,226.49769585253455,1,english,98.68202764976958,16.35439346379038,1,NA,0,0,0,0.43317972350230416,0,1
musdevutm,9-12 mo,NA,1,NA,hpp,283,1,english,100,17,1,NA,0,0,0,1,0,1
nusinfantlanguagecentre,12-15 mo,0.6380761768819173,9,0.2335317002084512,eyetracking,427.28205128205127,1,english,96.07692307692308,16.264705882352942,0,NA,0,0,0,0.46153846153846156,0,0
nusinfantlanguagecentre,6-9 mo,-0.3197950658718981,7,0.28936674586271466,eyetracking,246.7037037037037,1,english,95.11111111111111,14.88888888888889,0,NA,0,0,0,0.4444444444444444,0,0
nusinfantlanguagecentre,6-9 mo,-0.3197950658718981,7,0.28936674586271466,singlescreen,246.7037037037037,1,english,95.11111111111111,14.88888888888889,0,NA,0,0,0,0.4444444444444444,0,0
pocdnorthwestern,12-15 mo,0.38346459778150715,28,0.07274147408706905,eyetracking,413.6936936936937,1,english,97.97297297297297,17.56756756756757,1,NA,0,0,0,0.5585585585585585,0,1
purdueinfantspeech,12-15 mo,0.818275779793498,31,0.06991592944997305,hpp,395.77245508982037,1,english,99.94011976047904,16.378582457726058,1,0.04790419161676647,0.09580838323353294,0,0,0.4550898203592814,0,1
purdueinfantspeech,6-9 mo,NA,1,NA,hpp,273,1,english,100,19,1,0,0,0,0,1,0,1
purdueinfantspeech,9-12 mo,0.4990496242367993,26,0.07931779353318165,hpp,309,1,english,99.46783625730994,15.948051265889273,1,0,0,0,0,0.4678362573099415,0,1
socialcogumiami,3-6 mo,-0.28437012832864705,18,0.1122342551373007,eyetracking,135.77586206896552,1,english,97.06896551724138,14.533575317604356,1,NA,0,0,0,0.39655172413793105,1,1
trainorlab,6-9 mo,0.5282912274497675,24,0.08624053771875398,hpp,242.41139240506328,1,english,97.9873417721519,15.765822784810126,1,NA,0,0,0,0.34177215189873417,0,1
udssaarland,12-15 mo,0.33531696517250614,17,0.11930055098724264,singlescreen,407.64220183486236,1,german,100,14.283881613967848,1,NA,0.07339449541284404,0,0,0.26605504587155965,0,0
udssaarland,6-9 mo,-0.024491295905108564,11,0.18183181417216163,singlescreen,239.75,1,german,100,15.198630136986301,1,NA,0,0,0,0.3625,0,0
udssaarland,9-12 mo,-0.2693459079769168,15,0.13454245363573183,singlescreen,310.94565217391306,0.9130434782608695,german,99.1304347826087,14.880434782608695,1,NA,0,0,0,0.5869565217391305,0,0
unlvmusiclab,3-6 mo,0.8120149228839431,20,0.10824210293732771,singlescreen,138.10852713178295,1,english,99.76744186046511,15.090132164188589,1,NA,0,0,0,0.6124031007751938,0,1
weescienceedinburgh,6-9 mo,0.02083591022472662,32,0.0625033916808976,singlescreen,212.0950226244344,1,english,99.23076923076923,18.18232044198895,1,NA,0,0,0,0.46153846153846156,0,0
weltentdeckerzurich,12-15 mo,0.2652589635012967,30,0.06725301931431485,eyetracking,409.52517985611513,1,swissgerman,98.39568345323741,15.79496402877698,0,NA,0,0,0,0.38848920863309355,0,0
wsigoettingen,12-15 mo,0.41889160406613524,15,0.13625783626595167,singlescreen,407.735632183908,1,german,100,16.89655172413793,0.5747126436781609,NA,0,0,0,0.1724137931034483,0,0
wsigoettingen,3-6 mo,-0.3841716342015899,12,0.16974141342760665,singlescreen,147.4777777777778,1,german,99.92222222222222,17.25,1,NA,0,0,0,0.4777777777777778,0,0
wsigoettingen,6-9 mo,0.2879483193088247,31,0.06518479221445787,singlescreen,221.7594936708861,1,german,99.11392405063292,15.738040440572085,1,NA,0,0,0,0.45147679324894513,0,0
wsigoettingen,9-12 mo,0.2844136877933894,30,0.06734075954836863,singlescreen,312.6701030927835,1,german,99.24742268041237,17.02319587628866,0.8041237113402062,NA,0.041237113402061855,0,0,0.5309278350515464,0,0
