"","x","y","r"
"1","study_type_MB","speech_type_b.naturalistic",0.772860641446911
"2","study_type_MA","speech_type_a.simulated",0.70865711582815
"3","test_lang_c.artificial","method_c.other",0.701381125972868
"4","test_lang_c.artificial","speech_type_c.filtered/synthesized",0.647576125802733
"5","test_lang_a.native","native_lang_english",0.613806864835055
"6","presentation_a.tape recording","dependent_measure_a.preference",0.564300463638476
"7","study_type_MB","test_lang_b.nonnative",0.541050393221364
"8","native_lang_cantonese","presentation_b.video recording",0.500810154460561
"9","study_type_MA","test_lang_a.native",0.49780859951323
"10","test_lang_b.nonnative","speech_type_b.naturalistic",0.488188976377953
"11","test_lang_a.native","speech_type_a.simulated",0.463847031215937
"12","method_c.other","speech_type_c.filtered/synthesized",0.443888015142772
"13","test_lang_b.nonnative","native_lang_german",0.435254184910388
"14","speech_type_b.naturalistic","main_question_ids_preference_a.yes",0.404809792052929
"15","speech_type_a.simulated","main_question_ids_preference_b.no",0.397007120846357
"16","native_lang_english","speech_type_a.simulated",0.389470430319743
"17","native_lang_cantonese","dependent_measure_b.affect",0.360468625455295
"18","study_type_MB","mean_agec_mos",0.340702919243412
"19","study_type_MA","native_lang_english",0.3339373580134
"20","study_type_MA","presentation_b.video recording",0.324771725105484
"21","study_type_MA","main_question_ids_preference_b.no",0.312861555550017
"22","study_type_MB","native_lang_german",0.274934811789376
"23","test_lang_b.nonnative","native_lang_french",0.259152913703707
"24","test_lang_b.nonnative","native_lang_dutch",0.235929423445074
"25","method_b.hpp","presentation_a.tape recording",0.235525505769685
"26","speech_type_b.naturalistic","mean_agec_mos",0.229038697936197
"27","study_type_MA","speech_type_c.filtered/synthesized",0.216930457818656
"28","native_lang_german","speech_type_b.naturalistic",0.212486294995623
"29","test_lang_b.nonnative","method_a.cf",0.210832208114466
"30","method_a.cf","main_question_ids_preference_a.yes",0.207480517489269
"31","native_lang_dutch","method_b.hpp",0.205498734131697
"32","test_lang_a.native","main_question_ids_preference_b.no",0.204781551588437
"33","study_type_MA","method_c.other",0.200289087117883
"34","test_lang_b.nonnative","main_question_ids_preference_a.yes",0.197623678010091
"35","main_question_ids_preference_a.yes","mean_agec_mos",0.197241487611443
"36","study_type_MB","method_a.cf",0.194195878454635
"37","test_lang_a.native","method_b.hpp",0.192829118177235
"38","test_lang_b.nonnative","native_lang_korean",0.181764962412656
"39","test_lang_b.nonnative","mean_agec_mos",0.181151133076359
"40","method_c.other","main_question_ids_preference_b.no",0.179251631906054
"41","method_a.cf","presentation_b.video recording",0.172303191351986
"42","native_lang_english","main_question_ids_preference_b.no",0.171945390724219
"43","method_c.other","presentation_b.video recording",0.170126146128049
"44","method_a.cf","dependent_measure_b.affect",0.168013844911255
"45","study_type_MB","native_lang_french",0.163697811586731
"46","study_type_MA","native_lang_cantonese",0.1626489778145
"47","native_lang_korean","method_b.hpp",0.158320522891424
"48","method_b.hpp","dependent_measure_a.preference",0.157318669838003
"49","native_lang_japanese","speech_type_b.naturalistic",0.156235235522905
"50","method_b.hpp","speech_type_a.simulated",0.154302400304711
"51","method_a.cf","speech_type_b.naturalistic",0.15411146523307
"52","own_mother_a.no","mean_agec_mos",0.150990068642519
"53","study_type_MB","native_lang_dutch",0.149028346835544
"54","test_lang_b.nonnative","native_lang_hungarian",0.148013118972472
"55","method_b.hpp","main_question_ids_preference_b.no",0.14563770382548
"56","native_lang_german","method_a.cf",0.145127008915146
"57","presentation_a.tape recording","mean_agec_mos",0.14399348839086
"58","study_type_MA","test_lang_c.artificial",0.140478985442819
"59","native_lang_french","speech_type_b.naturalistic",0.126515595666377
"60","native_lang_cantonese","method_a.cf",0.125972537043848
"61","study_type_MA","method_b.hpp",0.124633497189736
"62","native_lang_english","speech_type_c.filtered/synthesized",0.119222677468435
"63","native_lang_dutch","speech_type_b.naturalistic",0.115178143729091
"64","study_type_MB","native_lang_korean",0.114814555409996
"65","study_type_MA","own_mother_b.yes",0.114393514071623
"66","speech_type_a.simulated","presentation_b.video recording",0.113546916558137
"67","native_lang_english","method_c.other",0.110076756735859
"68","method_b.hpp","mean_agec_mos",0.10705910149682
"69","test_lang_a.native","native_lang_cantonese",0.106460859285096
"70","test_lang_b.nonnative","native_lang_italian",0.104382355054249
"71","native_lang_german","mean_agec_mos",0.104130779947974
"72","native_lang_swissgerman","mean_agec_mos",0.103546955248716
"73","native_lang_cantonese","speech_type_b.naturalistic",0.102739658005518
"74","native_lang_turkish","mean_agec_mos",0.0995158947329473
"75","dependent_measure_a.preference","mean_agec_mos",0.0959854495837214
"76","study_type_MB","native_lang_hungarian",0.0934946990008457
"77","native_lang_german","presentation_a.tape recording",0.089291053116387
"78","native_lang_french","mean_agec_mos",0.0891648912225921
"79","native_lang_korean","speech_type_b.naturalistic",0.0887356509416114
"80","native_lang_hungarian","method_a.cf",0.0885984122531556
"81","speech_type_b.naturalistic","presentation_a.tape recording",0.0866911155393541
"82","native_lang_german","main_question_ids_preference_a.yes",0.0860165328912753
"83","method_b.hpp","own_mother_a.no",0.0829585464982822
"84","test_lang_c.artificial","native_lang_english",0.0772057595828379
"85","native_lang_japanese","method_b.hpp",0.0751418556623765
"86","test_lang_a.native","own_mother_b.yes",0.0748755508232958
"87","test_lang_b.nonnative","own_mother_a.no",0.0722583730416795
"88","presentation_a.tape recording","main_question_ids_preference_a.yes",0.066436383882992
"89","speech_type_a.simulated","own_mother_a.no",0.0662556837391603
"90","study_type_MB","native_lang_italian",0.0659346748081932
"91","native_lang_japanese","presentation_a.tape recording",0.0656532164298613
"92","native_lang_korean","mean_agec_mos",0.0649947901535365
"93","native_lang_japanese","main_question_ids_preference_a.yes",0.0632455532033676
"94","native_lang_english","own_mother_b.yes",0.0628694613461931
"95","native_lang_italian","method_a.cf",0.062481697495825
"96","native_lang_german","dependent_measure_a.preference",0.0596417345917553
"97","speech_type_a.simulated","dependent_measure_b.affect",0.0593954162214053
"98","speech_type_c.filtered/synthesized","presentation_a.tape recording",0.0575816799631098
"99","native_lang_spanish","mean_agec_mos",0.0565432376284126
"100","dependent_measure_a.preference","main_question_ids_preference_b.no",0.0554700196225229
"101","test_lang_b.nonnative","native_lang_japanese",0.0554383093790954
"102","native_lang_french","presentation_a.tape recording",0.0531644206650152
"103","native_lang_dutch","mean_agec_mos",0.0529919215519043
"104","speech_type_c.filtered/synthesized","main_question_ids_preference_b.no",0.0515078753637713
"105","native_lang_french","main_question_ids_preference_a.yes",0.0512147519731584
"106","native_lang_italian","speech_type_b.naturalistic",0.0509583150658537
"107","native_lang_dutch","presentation_a.tape recording",0.0484001932913979
"108","test_lang_a.native","presentation_b.video recording",0.047748126993478
"109","study_type_MA","native_lang_japanese",0.0475651494154494
"110","native_lang_dutch","main_question_ids_preference_a.yes",0.0466252404120157
"111","native_lang_japanese","dependent_measure_a.preference",0.0438529009653515
"112","speech_type_b.naturalistic","dependent_measure_a.preference",0.0419922573880652
"113","native_lang_cantonese","main_question_ids_preference_a.yes",0.0415900195928029
"114","native_lang_french","method_b.hpp",0.040238257112349
"115","speech_type_c.filtered/synthesized","dependent_measure_a.preference",0.0384615384615385
"116","test_lang_b.nonnative","presentation_a.tape recording",0.0383823259639889
"117","test_lang_c.artificial","presentation_a.tape recording",0.0372885212277235
"118","test_lang_c.artificial","main_question_ids_preference_a.yes",0.035921060405355
"119","native_lang_french","dependent_measure_a.preference",0.0355110412114217
"120","native_lang_dutch","dependent_measure_a.preference",0.032328787506992
"121","native_lang_german","own_mother_a.no",0.031450759261207
"122","native_lang_hungarian","presentation_a.tape recording",0.0303644346827226
"123","native_lang_hungarian","main_question_ids_preference_a.yes",0.0292508969650852
"124","test_lang_c.artificial","dependent_measure_a.preference",0.0249067740693359
"125","test_lang_a.native","dependent_measure_b.affect",0.0240291545258374
"126","native_lang_english","method_b.hpp",0.0236462174178864
"127","native_lang_japanese","own_mother_a.no",0.023124864503144
"128","native_lang_italian","presentation_a.tape recording",0.021413718081726
"129","native_lang_italian","main_question_ids_preference_a.yes",0.0206284249251759
"130","native_lang_hungarian","dependent_measure_a.preference",0.0202818478578709
"131","native_lang_hungarian","mean_agec_mos",0.0197398459464542
"132","native_lang_french","own_mother_a.no",0.0187259679132406
"133","test_lang_b.nonnative","dependent_measure_a.preference",0.0176809504791853
"134","native_lang_dutch","own_mother_a.no",0.0170478762908025
"135","method_c.other","speech_type_a.simulated",0.016873544585663
"136","native_lang_cantonese","own_mother_a.no",0.0152068172235619
"137","native_lang_italian","dependent_measure_a.preference",0.0143032391922656
"138","test_lang_c.artificial","own_mother_a.no",0.0131340404599205
"139","native_lang_hungarian","own_mother_a.no",0.0106951871657754
"140","native_lang_italian","own_mother_a.no",0.00754249915047894
"141","native_lang_english","dependent_measure_a.preference",0.00701309867461382
"142","native_lang_english","presentation_b.video recording",0.00209989521784288
"143","native_lang_english","presentation_a.tape recording",-0.00209989521784288
"144","method_a.cf","speech_type_c.filtered/synthesized",-0.00210017306139068
"145","native_lang_italian","native_lang_norwegian",-0.00531914893617021
"146","native_lang_english","dependent_measure_b.affect",-0.00701309867461382
"147","native_lang_hungarian","native_lang_italian",-0.00754249915047894
"148","test_lang_c.artificial","native_lang_italian",-0.00926243622255716
"149","native_lang_hungarian","native_lang_spanish",-0.0106951871657754
"150","native_lang_cantonese","native_lang_italian",-0.0107242074600841
"151","native_lang_japanese","mean_agec_mos",-0.0112430188664791
"152","native_lang_dutch","native_lang_italian",-0.0120225658932193
"153","test_lang_c.artificial","native_lang_hungarian",-0.0131340404599205
"154","native_lang_french","native_lang_italian",-0.0132059958267475
"155","native_lang_norwegian","mean_agec_mos",-0.0142057387379056
"156","native_lang_italian","speech_type_c.filtered/synthesized",-0.0143032391922656
"157","native_lang_cantonese","native_lang_hungarian",-0.0152068172235619
"158","test_lang_c.artificial","native_lang_korean",-0.0161290322580645
"159","native_lang_italian","native_lang_japanese",-0.0163082018263361
"160","native_lang_dutch","native_lang_hungarian",-0.0170478762908025
"161","test_lang_b.nonnative","dependent_measure_b.affect",-0.0176809504791853
"162","test_lang_c.artificial","native_lang_cantonese",-0.0186744700756621
"163","native_lang_french","native_lang_hungarian",-0.0187259679132406
"164","native_lang_hungarian","speech_type_c.filtered/synthesized",-0.0202818478578709
"165","native_lang_italian","main_question_ids_preference_b.no",-0.0206284249251759
"166","test_lang_c.artificial","native_lang_dutch",-0.0209353509656777
"167","native_lang_italian","presentation_b.video recording",-0.021413718081726
"168","native_lang_german","native_lang_italian",-0.0221798198883949
"169","test_lang_c.artificial","native_lang_french",-0.0229961024909137
"170","native_lang_hungarian","native_lang_japanese",-0.023124864503144
"171","test_lang_a.native","dependent_measure_a.preference",-0.0240291545258374
"172","native_lang_cantonese","native_lang_dutch",-0.024239308278186
"173","test_lang_c.artificial","dependent_measure_b.affect",-0.0249067740693359
"174","native_lang_cantonese","native_lang_french",-0.0266252817250525
"175","native_lang_french","method_a.cf",-0.0281164082145792
"176","test_lang_c.artificial","native_lang_japanese",-0.0283980917123532
"177","native_lang_cantonese","speech_type_c.filtered/synthesized",-0.0288374900364236
"178","native_lang_hungarian","main_question_ids_preference_b.no",-0.0292508969650852
"179","native_lang_dutch","native_lang_french",-0.0298487515423783
"180","native_lang_hungarian","presentation_b.video recording",-0.0303644346827226
"181","native_lang_german","native_lang_hungarian",-0.031450759261207
"182","native_lang_dutch","speech_type_c.filtered/synthesized",-0.032328787506992
"183","native_lang_french","method_c.other",-0.0327868852459016
"184","native_lang_cantonese","native_lang_japanese",-0.0328797974610715
"185","test_lang_a.native","speech_type_c.filtered/synthesized",-0.0349514974921271
"186","native_lang_french","speech_type_c.filtered/synthesized",-0.0355110412114217
"187","test_lang_c.artificial","main_question_ids_preference_b.no",-0.035921060405355
"188","native_lang_dutch","native_lang_japanese",-0.0368604890387243
"189","test_lang_c.artificial","presentation_b.video recording",-0.0372885212277235
"190","test_lang_b.nonnative","presentation_b.video recording",-0.0383823259639889
"191","speech_type_c.filtered/synthesized","dependent_measure_b.affect",-0.0384615384615385
"192","test_lang_c.artificial","native_lang_german",-0.0386225634230838
"193","native_lang_french","native_lang_japanese",-0.0404888165089458
"194","method_a.cf","mean_agec_mos",-0.0413673431937014
"195","native_lang_cantonese","main_question_ids_preference_b.no",-0.0415900195928029
"196","speech_type_b.naturalistic","dependent_measure_b.affect",-0.0419922573880652
"197","native_lang_japanese","speech_type_c.filtered/synthesized",-0.0438529009653515
"198","native_lang_cantonese","native_lang_german",-0.0447178661031639
"199","native_lang_dutch","main_question_ids_preference_b.no",-0.0466252404120157
"200","native_lang_italian","speech_type_a.simulated",-0.0467250764826412
"201","test_lang_a.native","native_lang_japanese",-0.0473228707317382
"202","study_type_MB","native_lang_japanese",-0.0475651494154494
"203","test_lang_a.native","presentation_a.tape recording",-0.047748126993478
"204","native_lang_dutch","presentation_b.video recording",-0.0484001932913979
"205","native_lang_dutch","native_lang_german",-0.050131769068297
"206","native_lang_french","main_question_ids_preference_b.no",-0.0512147519731584
"207","speech_type_c.filtered/synthesized","main_question_ids_preference_a.yes",-0.0515078753637713
"208","native_lang_french","presentation_b.video recording",-0.0531644206650152
"209","native_lang_cantonese","mean_agec_mos",-0.0539809070838161
"210","native_lang_french","native_lang_german",-0.055066442470221
"211","dependent_measure_a.preference","main_question_ids_preference_a.yes",-0.0554700196225229
"212","speech_type_c.filtered/synthesized","presentation_b.video recording",-0.0575816799631098
"213","native_lang_italian","method_b.hpp",-0.0585043306666524
"214","speech_type_a.simulated","dependent_measure_a.preference",-0.0593954162214053
"215","test_lang_a.native","method_c.other",-0.0594983025022635
"216","native_lang_german","speech_type_c.filtered/synthesized",-0.0596417345917553
"217","native_lang_japanese","method_a.cf",-0.059864142826322
"218","native_lang_english","method_a.cf",-0.0624203192305597
"219","native_lang_english","own_mother_a.no",-0.0628694613461931
"220","native_lang_japanese","main_question_ids_preference_b.no",-0.0632455532033676
"221","native_lang_japanese","presentation_b.video recording",-0.0656532164298613
"222","study_type_MA","native_lang_italian",-0.0659346748081932
"223","native_lang_hungarian","speech_type_a.simulated",-0.0662556837391603
"224","presentation_a.tape recording","main_question_ids_preference_b.no",-0.066436383882992
"225","native_lang_italian","mean_agec_mos",-0.0669605148517346
"226","native_lang_german","native_lang_japanese",-0.0680020400918046
"227","test_lang_b.nonnative","own_mother_b.yes",-0.0722583730416795
"228","test_lang_a.native","own_mother_a.no",-0.0748755508232958
"229","test_lang_c.artificial","speech_type_a.simulated",-0.0813641516919391
"230","native_lang_hungarian","method_b.hpp",-0.0829585464982822
"231","method_b.hpp","speech_type_b.naturalistic",-0.0860023213735259
"232","native_lang_german","main_question_ids_preference_b.no",-0.0860165328912753
"233","speech_type_b.naturalistic","presentation_b.video recording",-0.0866911155393541
"234","method_a.cf","own_mother_a.no",-0.0885984122531556
"235","test_lang_b.nonnative","test_lang_c.artificial",-0.0887356509416114
"236","native_lang_german","presentation_b.video recording",-0.089291053116387
"237","study_type_MA","native_lang_hungarian",-0.0934946990008457
"238","native_lang_cantonese","speech_type_a.simulated",-0.0942048097921705
"239","dependent_measure_b.affect","mean_agec_mos",-0.0959854495837214
"240","test_lang_a.native","native_lang_italian",-0.100733805194689
"241","test_lang_c.artificial","method_b.hpp",-0.101875814730133
"242","test_lang_b.nonnative","native_lang_cantonese",-0.102739658005518
"243","native_lang_dutch","speech_type_a.simulated",-0.105609998445114
"244","speech_type_a.simulated","mean_agec_mos",-0.111072982402486
"245","speech_type_a.simulated","presentation_a.tape recording",-0.113546916558137
"246","study_type_MA","own_mother_a.no",-0.114393514071623
"247","study_type_MA","native_lang_korean",-0.114814555409996
"248","native_lang_french","speech_type_a.simulated",-0.116005619026433
"249","native_lang_cantonese","method_b.hpp",-0.117953564923918
"250","native_lang_english","native_lang_italian",-0.119970793275067
"251","study_type_MB","method_b.hpp",-0.124633497189736
"252","speech_type_a.simulated","speech_type_c.filtered/synthesized",-0.125644149699127
"253","test_lang_b.nonnative","method_c.other",-0.126515595666377
"254","native_lang_german","method_b.hpp",-0.127126866128139
"255","test_lang_b.nonnative","speech_type_c.filtered/synthesized",-0.137027366213686
"256","test_lang_c.artificial","mean_agec_mos",-0.139853327872743
"257","study_type_MB","test_lang_c.artificial",-0.140478985442819
"258","test_lang_a.native","mean_agec_mos",-0.142250882815517
"259","test_lang_a.native","native_lang_hungarian",-0.142839512339826
"260","native_lang_japanese","speech_type_a.simulated",-0.143256371794421
"261","presentation_b.video recording","mean_agec_mos",-0.14399348839086
"262","method_b.hpp","method_c.other",-0.145250293966528
"263","method_b.hpp","main_question_ids_preference_a.yes",-0.14563770382548
"264","test_lang_c.artificial","method_a.cf",-0.14824239087256
"265","study_type_MA","native_lang_dutch",-0.149028346835544
"266","own_mother_b.yes","mean_agec_mos",-0.150990068642519
"267","native_lang_english","mean_agec_mos",-0.152591886489997
"268","method_b.hpp","speech_type_c.filtered/synthesized",-0.157318669838003
"269","method_a.cf","speech_type_a.simulated",-0.158420629460219
"270","study_type_MB","native_lang_cantonese",-0.1626489778145
"271","study_type_MA","native_lang_french",-0.163697811586731
"272","test_lang_b.nonnative","method_b.hpp",-0.167973283932668
"273","method_a.cf","dependent_measure_a.preference",-0.168013844911255
"274","test_lang_a.native","method_a.cf",-0.169380176474089
"275","native_lang_english","native_lang_hungarian",-0.170117365995581
"276","method_c.other","presentation_a.tape recording",-0.170126146128049
"277","native_lang_english","main_question_ids_preference_a.yes",-0.171945390724219
"278","method_a.cf","presentation_a.tape recording",-0.172303191351986
"279","test_lang_a.native","test_lang_c.artificial",-0.175411603861406
"280","method_c.other","main_question_ids_preference_a.yes",-0.179251631906054
"281","method_c.other","mean_agec_mos",-0.181471190616881
"282","test_lang_c.artificial","speech_type_b.naturalistic",-0.181764962412656
"283","native_lang_dutch","method_a.cf",-0.19241740181631
"284","study_type_MA","method_a.cf",-0.194195878454635
"285","native_lang_german","speech_type_a.simulated",-0.194834510763414
"286","method_c.other","speech_type_b.naturalistic",-0.194874828808693
"287","main_question_ids_preference_b.no","mean_agec_mos",-0.197241487611443
"288","test_lang_b.nonnative","main_question_ids_preference_b.no",-0.197623678010091
"289","study_type_MB","method_c.other",-0.200289087117883
"290","test_lang_a.native","main_question_ids_preference_a.yes",-0.204781551588437
"291","method_a.cf","main_question_ids_preference_b.no",-0.207480517489269
"292","native_lang_english","native_lang_korean",-0.20890970240062
"293","method_a.cf","method_c.other",-0.211357827268216
"294","study_type_MA","dependent_measure_a.preference",-0.216930457818656
"295","test_lang_a.native","native_lang_dutch",-0.227682816398039
"296","method_b.hpp","presentation_b.video recording",-0.235525505769685
"297","native_lang_cantonese","native_lang_english",-0.241879235131744
"298","test_lang_a.native","native_lang_french",-0.250094559670531
"299","native_lang_dutch","native_lang_english",-0.27116307227332
"300","study_type_MA","native_lang_german",-0.274934811789376
"301","speech_type_b.naturalistic","speech_type_c.filtered/synthesized",-0.280685088857067
"302","native_lang_english","native_lang_french",-0.297854753520559
"303","speech_type_c.filtered/synthesized","mean_agec_mos",-0.302254356294244
"304","study_type_MA","main_question_ids_preference_a.yes",-0.312861555550017
"305","study_type_MA","presentation_a.tape recording",-0.324771725105484
"306","study_type_MB","native_lang_english",-0.3339373580134
"307","study_type_MA","mean_agec_mos",-0.340702919243412
"308","native_lang_cantonese","dependent_measure_a.preference",-0.360468625455295
"309","native_lang_english","native_lang_japanese",-0.367823487079141
"310","speech_type_a.simulated","main_question_ids_preference_a.yes",-0.397007120846357
"311","speech_type_b.naturalistic","main_question_ids_preference_b.no",-0.404809792052929
"312","test_lang_a.native","native_lang_german",-0.420040439307484
"313","native_lang_english","speech_type_b.naturalistic",-0.42475600664753
"314","test_lang_a.native","speech_type_b.naturalistic",-0.434697623018053
"315","test_lang_b.nonnative","speech_type_a.simulated",-0.447633859749166
"316","study_type_MB","test_lang_a.native",-0.49780859951323
"317","native_lang_english","native_lang_german",-0.500254950301262
"318","native_lang_cantonese","presentation_a.tape recording",-0.500810154460561
"319","study_type_MA","test_lang_b.nonnative",-0.541050393221364
"320","presentation_a.tape recording","dependent_measure_b.affect",-0.564300463638476
"321","test_lang_b.nonnative","native_lang_english",-0.641566947422076
"322","study_type_MB","speech_type_a.simulated",-0.70865711582815
"323","study_type_MA","speech_type_b.naturalistic",-0.772860641446911
"324","speech_type_a.simulated","speech_type_b.naturalistic",-0.91692742238942
"325","method_a.cf","method_b.hpp",-0.936343489556468
"326","test_lang_a.native","test_lang_b.nonnative",-0.965046296783943
"327","study_type_MA","study_type_MB",-1
"328","study_type_MA","study_type_MA",NA
